"","manufacturer","model","displ","year","cyl","trans","drv","cty","hwy","fl","class"
"1","audi","a4",1.8,1999,4,"auto(l5)","f",18,29,"p","compact"
"2","audi","a4",1.8,1999,4,"manual(m5)","f",21,29,"p","compact"
"17","audi","a6 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","midsize"
"18","audi","a6 quattro",4.2,2008,8,"auto(s6)","4",16,23,"p","midsize"
"19","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv"
"20","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv"
"27","chevrolet","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater"
"28","chevrolet","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater"
"36","chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize"
"37","chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize"
"47","dodge","caravan 2wd",3.8,2008,6,"auto(l6)","f",16,23,"r","minivan"
"48","dodge","caravan 2wd",4,2008,6,"auto(l6)","f",16,23,"r","minivan"
"49","dodge","dakota pickup 4wd",3.7,2008,6,"manual(m6)","4",15,19,"r","pickup"
"50","dodge","dakota pickup 4wd",3.7,2008,6,"auto(l4)","4",14,18,"r","pickup"
"51","dodge","dakota pickup 4wd",3.9,1999,6,"auto(l4)","4",13,17,"r","pickup"
"52","dodge","dakota pickup 4wd",3.9,1999,6,"manual(m5)","4",14,17,"r","pickup"
"100","honda","civic",1.6,1999,4,"manual(m5)","f",28,33,"r","subcompact"
"101","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"102","honda","civic",1.6,1999,4,"manual(m5)","f",25,32,"r","subcompact"
"103","honda","civic",1.6,1999,4,"manual(m5)","f",23,29,"p","subcompact"
"104","honda","civic",1.6,1999,4,"auto(l4)","f",24,32,"r","subcompact"
"124","jeep","grand cherokee 4wd",3.7,2008,6,"auto(l5)","4",15,19,"r","suv"
"125","jeep","grand cherokee 4wd",4,1999,6,"auto(l4)","4",15,20,"r","suv"
"126","jeep","grand cherokee 4wd",4.7,1999,8,"auto(l4)","4",14,17,"r","suv"
"127","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",9,12,"e","suv"
"128","jeep","grand cherokee 4wd",4.7,2008,8,"auto(l5)","4",14,19,"r","suv"
"232","volkswagen","passat",2.8,1999,6,"auto(l5)","f",16,26,"p","midsize"
"233","volkswagen","passat",2.8,1999,6,"manual(m5)","f",18,26,"p","midsize"
"234","volkswagen","passat",3.6,2008,6,"auto(s6)","f",17,26,"p","midsize"
