id,account_id,date,amount,payments,loan_term,loan_status,loan_default
4959,2,1994-01-05,80952,3373,24,expired,FALSE
4961,19,1996-04-29,30276,2523,12,expired,TRUE
4962,25,1997-12-08,30276,2523,12,expired,FALSE
4967,37,1998-10-14,318480,5308,60,current,TRUE
4968,38,1998-04-19,110736,2307,48,current,FALSE
4973,67,1996-05-02,165960,6915,24,expired,FALSE
4986,97,1997-08-10,102876,8573,12,expired,FALSE
4988,103,1997-12-06,265320,7370,36,current,TRUE
4989,105,1998-12-05,352704,7348,48,current,FALSE
4990,110,1997-09-08,162576,4516,36,current,FALSE
4996,132,1996-11-06,88440,7370,12,expired,FALSE
5002,173,1994-05-31,104808,8734,12,expired,FALSE
5005,176,1997-04-10,27456,2288,12,expired,FALSE
5015,226,1998-07-12,109344,9112,12,current,FALSE
5027,276,1998-12-02,160920,4470,36,current,FALSE
5032,290,1994-11-03,123696,2577,48,expired,FALSE
5034,303,1998-05-30,112752,3132,36,current,FALSE
5036,309,1998-11-25,91248,1901,48,current,FALSE
5039,314,1997-05-03,66840,2785,24,current,FALSE
5041,319,1997-07-11,369000,6150,60,current,FALSE
5042,330,1998-07-12,331584,6908,48,current,FALSE
5043,339,1997-12-25,468060,7801,60,current,FALSE
5044,344,1994-12-21,100980,1683,60,current,FALSE
5045,347,1995-05-01,187224,7801,24,expired,TRUE
5046,349,1998-09-09,42816,3568,12,current,FALSE
5051,378,1997-10-11,230400,3840,60,current,FALSE
5060,426,1994-07-19,252060,4201,60,current,TRUE
5061,440,1998-03-13,84288,1756,48,current,FALSE
5063,442,1997-07-10,357840,7455,48,current,TRUE
5072,472,1997-04-28,196800,8200,24,current,TRUE
5082,501,1996-10-24,262980,4383,60,current,FALSE
5086,525,1997-07-16,210384,4383,48,current,FALSE
5088,544,1996-08-22,91152,3798,24,expired,FALSE
5103,666,1997-11-28,12540,1045,12,expired,FALSE
5110,675,1997-04-01,102240,1704,60,current,FALSE
5117,718,1997-08-20,76944,6412,12,expired,FALSE
5124,785,1998-02-12,156096,4336,36,current,FALSE
5125,789,1995-11-23,73056,1522,48,current,FALSE
5126,790,1994-07-24,208128,4336,48,expired,TRUE
5128,808,1996-04-11,215616,4492,48,current,TRUE
5130,813,1994-05-11,24312,2026,12,expired,FALSE
5131,816,1995-01-08,48624,2026,24,expired,FALSE
5132,817,1995-02-17,538500,8975,60,current,FALSE
5134,825,1997-02-02,53076,4423,12,expired,FALSE
5136,846,1996-07-28,187104,7796,24,expired,FALSE
5138,854,1995-05-30,87216,1817,48,current,FALSE
5140,873,1998-02-24,178500,2975,60,current,FALSE
5145,915,1995-09-16,309552,6449,48,current,FALSE
5147,938,1998-05-21,22260,371,60,current,FALSE
5148,940,1996-05-29,284280,4738,60,current,FALSE
5151,960,1995-05-24,189060,3151,60,current,FALSE
5154,993,1998-07-01,108720,1812,60,current,FALSE
5158,1004,1998-04-11,188532,5237,36,current,FALSE
5160,1011,1995-12-18,204000,3400,60,current,FALSE
5161,1012,1994-10-28,98184,4091,24,expired,FALSE
5169,1068,1998-09-24,253200,4220,60,current,FALSE
5170,1071,1994-01-20,253200,4220,60,current,FALSE
5172,1083,1998-04-16,50976,1416,36,current,FALSE
5174,1093,1997-06-13,385104,8023,48,current,FALSE
5176,1106,1994-11-12,192552,8023,24,expired,TRUE
5189,1166,1994-02-07,149040,3105,48,expired,FALSE
5206,1242,1997-09-07,128544,5356,24,current,FALSE
5207,1244,1997-02-28,35904,748,48,current,FALSE
5208,1247,1995-03-16,99696,2077,48,current,TRUE
5209,1250,1996-11-25,182640,3805,48,current,FALSE
5210,1252,1997-04-01,148140,4115,36,current,FALSE
5212,1256,1995-05-29,71064,1974,36,expired,FALSE
5214,1270,1997-07-01,74772,2077,36,current,FALSE
5221,1284,1998-12-05,52512,4376,12,current,FALSE
5226,1318,1998-10-11,185544,5154,36,current,FALSE
5229,1329,1997-09-06,23520,1960,12,expired,FALSE
5236,1374,1997-09-15,389136,8107,48,current,FALSE
5237,1375,1995-08-29,45336,1889,24,expired,FALSE
5241,1389,1998-09-02,125472,5228,24,current,FALSE
5245,1407,1998-01-17,125472,5228,24,current,FALSE
5253,1447,1997-06-03,100080,2085,48,current,FALSE
5260,1480,1998-01-19,123300,3425,36,current,FALSE
5265,1498,1998-10-07,165780,2763,60,current,FALSE
5269,1527,1994-11-19,164052,4557,36,expired,TRUE
5270,1528,1997-07-21,191088,3981,48,current,FALSE
5281,1580,1997-11-27,194256,8094,24,current,FALSE
5282,1583,1996-08-24,388512,8094,48,current,TRUE
5285,1603,1994-02-06,78936,6578,12,expired,FALSE
5287,1638,1998-01-26,64224,2676,24,current,FALSE
5293,1656,1998-10-29,189792,3954,48,current,FALSE
5301,1698,1996-07-06,141948,3943,36,current,FALSE
5304,1718,1998-08-20,172272,7178,24,current,FALSE
5310,1762,1995-04-28,248148,6893,36,expired,FALSE
5311,1766,1996-06-15,30060,501,60,current,FALSE
5312,1772,1996-03-13,202788,5633,36,current,FALSE
5313,1776,1998-05-27,43200,1800,24,current,FALSE
5314,1787,1993-07-05,96396,8033,12,expired,TRUE
5316,1801,1993-07-11,165960,4610,36,expired,FALSE
5318,1808,1998-09-30,385584,8033,48,current,FALSE
5319,1811,1994-06-23,239460,3991,60,current,FALSE
5320,1819,1998-01-11,143676,3991,36,current,FALSE
5325,1843,1993-08-03,105804,2939,36,expired,FALSE
5329,1862,1996-10-16,396120,6602,60,current,FALSE
5332,1869,1998-01-29,37944,1054,36,current,FALSE
5334,1876,1998-09-10,209040,8710,24,current,FALSE
5337,1886,1996-07-31,162468,4513,36,current,FALSE
5338,1888,1997-08-30,57360,4780,12,expired,TRUE
5343,1906,1997-10-08,44952,1873,24,current,FALSE
5346,1928,1998-12-06,55632,2318,24,current,FALSE
5350,1967,1996-04-21,249312,5194,48,current,FALSE
5351,1978,1994-12-04,205200,5700,36,expired,FALSE
5352,1993,1995-04-15,68400,5700,12,expired,TRUE
5354,2000,1998-07-14,290820,4847,60,current,FALSE
5358,2018,1997-01-21,38520,3210,12,expired,FALSE
5360,2035,1998-01-25,176328,4898,36,current,FALSE
5363,2051,1997-04-22,293880,4898,60,current,TRUE
5365,2055,1998-07-19,271260,4521,60,current,FALSE
5366,2062,1996-10-29,86184,7182,12,expired,FALSE
5367,2064,1997-08-26,83628,2323,36,current,FALSE
5368,2073,1998-10-05,44640,1860,24,current,FALSE
5369,2080,1997-09-12,214596,5961,36,current,FALSE
5375,2106,1996-10-03,101520,8460,12,expired,FALSE
5377,2116,1997-08-04,92400,7700,12,expired,FALSE
5382,2134,1997-03-17,22932,637,36,current,FALSE
5384,2142,1998-03-07,23328,1944,12,current,FALSE
5385,2143,1996-09-09,71460,1985,36,current,FALSE
5388,2153,1996-11-28,61560,5130,12,expired,FALSE
5389,2165,1997-08-22,78600,3275,24,current,FALSE
5390,2167,1994-10-30,170256,7094,24,expired,FALSE
5395,2176,1994-07-30,299088,8308,36,expired,TRUE
5398,2187,1997-11-04,53472,4456,12,expired,FALSE
5409,2218,1995-11-18,182040,3034,60,current,FALSE
5413,2227,1995-12-12,92976,3874,24,expired,FALSE
5414,2228,1995-03-29,185952,3874,48,current,FALSE
5415,2236,1996-09-26,139464,3874,36,current,TRUE
5418,2245,1995-01-16,347952,7249,48,current,FALSE
5419,2246,1997-02-05,415800,6930,60,current,FALSE
5420,2247,1997-02-24,72504,3021,24,current,FALSE
5428,2262,1998-12-02,230220,6395,36,current,FALSE
5429,2268,1996-07-18,20196,561,36,current,FALSE
5435,2279,1998-06-01,314688,6556,48,current,FALSE
5445,2322,1996-06-29,46320,1930,24,expired,FALSE
5446,2334,1997-08-04,48312,2013,24,current,FALSE
5447,2335,1997-11-12,541200,9020,60,current,TRUE
5449,2343,1995-11-04,99336,4139,24,expired,FALSE
5450,2345,1994-12-11,199680,3328,60,current,FALSE
5451,2350,1997-05-11,159744,3328,48,current,FALSE
5452,2352,1996-04-29,49440,824,60,current,FALSE
5453,2361,1995-04-01,156672,4352,36,expired,FALSE
5463,2413,1998-10-06,17952,1496,12,current,FALSE
5464,2419,1995-01-30,95808,7984,12,expired,FALSE
5469,2445,1997-12-26,293160,4886,60,current,FALSE
5470,2456,1996-04-15,200976,4187,48,current,FALSE
5479,2486,1994-01-10,24516,2043,12,expired,FALSE
