account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan_amount,loan_payments,loan_term,loan_status,loan_default,loan,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,1995-03-24,monthly,Pisek,1,0.0,NA,NA,NA,NA,NA,False,7500,15,,30415,1000
2,1993-02-26,monthly,Hl.m. Praha,2,0.0,80952.0,3373.0,24.0,expired,False,True,42000,15,,69302,1100
3,1997-07-07,monthly,Kolin,2,0.0,NA,NA,NA,NA,NA,False,7400,15,,53447,1000
4,1996-02-21,monthly,Pribram,1,0.0,NA,NA,NA,NA,NA,False,5250,15,,34870,800
5,1997-05-30,monthly,Cesky Krumlov,1,0.0,NA,NA,NA,NA,NA,False,5100,15,,32036,600
6,1994-09-27,monthly,Trutnov,1,0.0,NA,NA,NA,NA,NA,False,11600,15,,51879,900
7,1996-11-24,monthly,Prostejov,1,1.0,NA,NA,NA,NA,NA,False,25800,15,1.0,99675,900
8,1995-09-21,monthly,Hodonin,2,0.0,NA,NA,NA,NA,NA,False,40800,15,,79255,900
9,1993-01-27,monthly,Karvina,1,0.0,NA,NA,NA,NA,NA,False,38100,15,,85444,400
10,1996-08-28,monthly,Brno - mesto,1,0.0,NA,NA,NA,NA,NA,False,23840,15,,83410,1100
11,1995-10-10,monthly,Sumperk,1,0.0,NA,NA,NA,NA,NA,False,6700,15,,40389,300
12,1997-04-15,monthly,Tabor,2,0.0,NA,NA,NA,NA,NA,False,11000,15,,29053,1100
13,1997-08-17,monthly,Sumperk,2,0.0,NA,NA,NA,NA,NA,False,7500,15,,29751,1000
14,1996-11-27,monthly,Pardubice,1,1.0,NA,NA,NA,NA,NA,False,17200,15,6.0,59453,400
15,1993-10-02,monthly,Karvina,1,0.0,NA,NA,NA,NA,NA,False,46720,15,,66671,800
16,1997-09-23,monthly,Pribram,1,0.0,NA,NA,NA,NA,NA,False,26300,15,,60274,500
17,1997-01-08,monthly,Hl.m. Praha,2,0.0,NA,NA,NA,NA,NA,False,25500,15,,100815,700
19,1995-04-07,monthly,Tabor,1,0.0,30276.0,2523.0,12.0,expired,True,True,18500,1,,58158,-10605
20,1996-08-24,monthly,Ostrava - mesto,1,0.0,NA,NA,NA,NA,NA,False,4950,15,,20458,500
21,1997-12-06,monthly,Brno - mesto,1,0.0,NA,NA,NA,NA,NA,False,28000,15,,61685,1100
22,1994-03-23,monthly,Hl.m. Praha,1,0.0,NA,NA,NA,NA,NA,False,27600,15,,68160,1100
23,1993-05-22,monthly,Sokolov,1,0.0,NA,NA,NA,NA,NA,False,40480,15,,95299,800
24,1996-12-05,monthly,Ostrava - mesto,1,0.0,NA,NA,NA,NA,NA,False,26800,15,,49091,1000
25,1996-07-28,monthly,Frydek - Mistek,1,0.0,30276.0,2523.0,12.0,expired,False,True,63300,15,,134210,900
26,1993-08-08,monthly,Usti nad Orlici,1,0.0,NA,NA,NA,NA,NA,False,29100,15,,83469,800
27,1993-09-26,monthly,Opava,1,0.0,NA,NA,NA,NA,NA,False,9500,15,,40464,900
29,1994-11-24,monthly,Melnik,2,0.0,NA,NA,NA,NA,NA,False,18000,8,,59950,700
30,1995-03-04,monthly,Liberec,1,0.0,NA,NA,NA,NA,NA,False,75600,15,,149154,400
31,1994-04-27,monthly,Frydek - Mistek,1,0.0,NA,NA,NA,NA,NA,False,61700,15,,137131,800
32,1995-08-28,monthly,Kolin,1,0.0,NA,NA,NA,NA,NA,False,21500,15,,90565,700
33,1993-08-26,monthly,Domazlice,1,1.0,NA,NA,NA,NA,NA,False,63100,15,22.0,123696,600
35,1993-07-07,monthly,Prerov,1,0.0,NA,NA,NA,NA,NA,False,14950,15,,32520,600
36,1993-07-01,monthly,Hl.m. Praha,1,0.0,NA,NA,NA,NA,NA,False,41120,15,,85055,500
37,1997-08-18,monthly,Strakonice,1,0.0,318480.0,5308.0,60.0,current,True,True,43200,0,,104762,-1011
39,1993-09-22,monthly,Liberec,1,0.0,NA,NA,NA,NA,NA,False,7300,15,,36322,1100
