id,district_id,date,statement_frequency
1,18,1995-03-24,monthly
2,1,1993-02-26,monthly
3,5,1997-07-07,monthly
4,12,1996-02-21,monthly
5,15,1997-05-30,monthly
6,51,1994-09-27,monthly
7,60,1996-11-24,monthly
8,57,1995-09-21,monthly
9,70,1993-01-27,monthly
10,54,1996-08-28,monthly
11,76,1995-10-10,monthly
12,21,1997-04-15,monthly
13,76,1997-08-17,monthly
14,47,1996-11-27,monthly
15,70,1993-10-02,monthly
16,12,1997-09-23,monthly
17,1,1997-01-08,monthly
19,21,1995-04-07,monthly
20,74,1996-08-24,monthly
21,54,1997-12-06,monthly
22,1,1994-03-23,monthly
23,30,1993-05-22,monthly
24,74,1996-12-05,monthly
25,68,1996-07-28,monthly
26,52,1993-08-08,monthly
27,73,1993-09-26,monthly
29,7,1994-11-24,monthly
30,36,1995-03-04,monthly
31,68,1994-04-27,monthly
32,5,1995-08-28,monthly
33,22,1993-08-26,monthly
35,75,1993-07-07,monthly
36,1,1993-07-01,monthly
37,20,1997-08-18,monthly
39,36,1993-09-22,monthly
40,64,1993-10-25,monthly
41,72,1997-08-02,monthly
42,39,1996-08-16,monthly
43,36,1994-06-12,monthly
44,32,1993-05-10,monthly
45,64,1997-09-02,monthly
47,45,1993-08-08,monthly
48,21,1996-11-17,monthly
49,1,1997-04-06,monthly
50,1,1994-05-06,monthly
51,67,1996-05-11,monthly
52,16,1997-01-29,monthly
53,77,1995-06-07,monthly
54,4,1995-05-02,monthly
55,20,1996-02-19,monthly
56,50,1994-05-16,monthly
57,1,1995-05-21,monthly
58,29,1996-08-23,monthly
59,43,1994-03-27,monthly
61,70,1993-12-11,monthly
62,47,1993-03-28,monthly
63,22,1996-11-16,monthly
64,64,1997-03-11,monthly
65,36,1996-10-29,monthly
67,16,1994-10-19,monthly
69,64,1996-01-12,monthly
70,8,1995-02-18,monthly
71,1,1994-03-05,monthly
73,72,1993-11-08,monthly
75,1,1995-08-13,monthly
76,52,1996-05-16,monthly
77,63,1996-11-19,monthly
78,74,1993-07-07,monthly
79,3,1996-11-29,monthly
80,43,1995-09-27,monthly
81,74,1996-07-18,monthly
82,26,1994-05-03,monthly
83,26,1993-04-16,monthly
85,68,1997-03-23,monthly
86,54,1993-03-07,monthly
88,31,1996-07-03,monthly
89,68,1997-09-25,monthly
90,1,1994-07-13,monthly
91,17,1996-11-06,monthly
93,2,1996-06-12,monthly
95,1,1995-03-30,monthly
96,68,1993-02-18,monthly
97,74,1996-05-05,monthly
98,55,1997-05-02,monthly
99,1,1995-06-27,monthly
100,41,1993-12-28,monthly
101,35,1996-04-16,monthly
102,11,1993-10-16,monthly
103,44,1996-03-10,monthly
104,37,1993-04-15,monthly
105,21,1997-07-10,monthly
106,63,1994-11-27,monthly
107,64,1993-11-05,monthly
108,53,1995-03-10,monthly
109,53,1997-04-20,monthly
110,36,1996-07-17,monthly
112,6,1993-03-12,monthly
113,55,1996-07-22,monthly
114,60,1997-03-14,monthly
115,68,1993-03-19,monthly
116,8,1996-03-21,monthly
117,31,1993-09-05,monthly
118,68,1997-09-18,monthly
119,27,1993-05-25,monthly
121,55,1997-10-11,monthly
122,31,1996-10-30,monthly
123,21,1993-03-13,monthly
