id,link_id,type,issue_date
1,9,gold,1998-10-16
2,19,classic,1998-03-13
3,41,gold,1995-09-03
4,42,classic,1998-11-26
5,51,junior,1995-04-24
7,56,classic,1998-06-11
8,60,junior,1998-05-20
9,76,classic,1997-10-25
10,77,classic,1996-12-07
11,79,gold,1997-10-25
12,83,junior,1996-09-11
13,87,classic,1994-06-29
14,112,classic,1996-02-17
15,114,classic,1995-03-05
16,116,classic,1998-06-23
17,127,classic,1998-06-07
18,128,classic,1995-08-25
19,130,classic,1997-09-09
20,131,classic,1998-12-02
21,132,classic,1998-02-26
22,138,classic,1997-01-11
23,146,classic,1998-10-03
24,153,junior,1996-08-05
25,158,classic,1997-12-06
26,161,classic,1998-09-14
27,167,junior,1998-11-15
28,174,junior,1998-01-22
29,192,classic,1998-08-20
30,202,classic,1997-10-01
31,208,classic,1998-10-21
32,219,classic,1998-08-06
33,221,junior,1997-12-03
34,225,classic,1998-03-20
35,231,classic,1998-10-07
36,236,classic,1998-09-28
37,238,classic,1996-04-20
38,242,classic,1996-08-31
39,254,classic,1998-07-14
40,255,classic,1996-10-13
41,256,classic,1997-08-31
42,264,junior,1998-07-28
43,267,classic,1997-08-29
44,268,junior,1996-05-17
45,272,classic,1997-12-05
46,273,classic,1998-11-10
47,280,classic,1998-08-13
48,295,classic,1998-03-10
49,305,classic,1997-10-03
50,309,classic,1997-05-28
51,321,classic,1997-11-21
52,326,gold,1998-04-10
53,333,classic,1998-10-13
54,334,classic,1997-01-24
55,335,classic,1998-01-25
56,339,classic,1998-11-22
57,347,classic,1996-11-09
58,358,classic,1998-03-11
59,365,classic,1997-10-27
60,370,classic,1998-10-18
61,374,classic,1998-10-18
63,378,junior,1998-03-27
64,402,classic,1998-05-10
65,414,classic,1998-02-02
66,425,classic,1998-07-08
67,429,junior,1998-01-28
68,434,classic,1998-01-31
69,438,classic,1997-05-17
70,439,classic,1994-02-08
71,441,classic,1998-04-11
72,447,classic,1998-03-09
73,451,junior,1998-07-21
74,453,classic,1998-10-18
75,457,classic,1997-07-29
76,464,classic,1998-12-23
77,466,classic,1998-08-13
78,468,classic,1998-08-04
79,469,classic,1998-09-02
80,471,classic,1998-06-25
81,473,classic,1997-12-17
82,474,classic,1997-05-07
83,483,classic,1998-01-05
84,487,classic,1996-06-26
85,489,classic,1995-12-31
86,490,classic,1997-11-28
87,493,classic,1996-11-02
88,496,classic,1996-11-04
89,497,classic,1998-04-22
90,503,classic,1997-06-04
91,504,junior,1997-09-01
92,508,classic,1995-11-20
93,510,classic,1997-11-09
94,513,classic,1997-11-06
95,519,junior,1998-08-01
96,528,classic,1998-08-26
97,531,junior,1995-09-19
98,537,classic,1995-09-06
99,548,gold,1996-10-09
100,562,gold,1998-02-21
101,566,classic,1998-06-19
102,575,classic,1998-11-12
103,584,junior,1996-08-17
104,588,classic,1994-01-19
105,590,classic,1997-01-17
106,592,classic,1996-01-14
107,593,classic,1995-06-27
108,597,classic,1997-06-25
109,605,classic,1998-04-26
110,608,classic,1997-05-31
111,615,classic,1998-06-05
112,626,junior,1997-01-19
113,629,junior,1995-11-16
115,638,classic,1997-07-30
116,646,classic,1998-10-11
117,649,junior,1996-11-23
118,652,classic,1995-10-22
119,655,classic,1996-08-08
120,662,classic,1997-07-03
121,666,junior,1996-07-22
