id,account_id,date,amount,payments,24_A,12_B,12_A,60_D,48_C,36_D,36_C,12_C,48_A,24_C,60_C,24_B,48_D,24_D,48_B,36_A,36_B,60_B,12_D,60_A
4959,2,1994-01-05,80952,3373,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4961,19,1996-04-29,30276,2523,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4962,25,1997-12-08,30276,2523,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4967,37,1998-10-14,318480,5308,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4968,38,1998-04-19,110736,2307,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4973,67,1996-05-02,165960,6915,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4986,97,1997-08-10,102876,8573,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4988,103,1997-12-06,265320,7370,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4989,105,1998-12-05,352704,7348,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4990,110,1997-09-08,162576,4516,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
4996,132,1996-11-06,88440,7370,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5002,173,1994-05-31,104808,8734,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5005,176,1997-04-10,27456,2288,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5015,226,1998-07-12,109344,9112,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5027,276,1998-12-02,160920,4470,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5032,290,1994-11-03,123696,2577,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-
5034,303,1998-05-30,112752,3132,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5036,309,1998-11-25,91248,1901,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5039,314,1997-05-03,66840,2785,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5041,319,1997-07-11,369000,6150,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5042,330,1998-07-12,331584,6908,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5043,339,1997-12-25,468060,7801,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5044,344,1994-12-21,100980,1683,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5045,347,1995-05-01,187224,7801,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-
5046,349,1998-09-09,42816,3568,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5051,378,1997-10-11,230400,3840,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5060,426,1994-07-19,252060,4201,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5061,440,1998-03-13,84288,1756,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5063,442,1997-07-10,357840,7455,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-
5072,472,1997-04-28,196800,8200,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-
5082,501,1996-10-24,262980,4383,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5086,525,1997-07-16,210384,4383,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5088,544,1996-08-22,91152,3798,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5103,666,1997-11-28,12540,1045,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5110,675,1997-04-01,102240,1704,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5117,718,1997-08-20,76944,6412,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5124,785,1998-02-12,156096,4336,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5125,789,1995-11-23,73056,1522,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5126,790,1994-07-24,208128,4336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-
5128,808,1996-04-11,215616,4492,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-
5130,813,1994-05-11,24312,2026,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5131,816,1995-01-08,48624,2026,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5132,817,1995-02-17,538500,8975,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5134,825,1997-02-02,53076,4423,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5136,846,1996-07-28,187104,7796,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5138,854,1995-05-30,87216,1817,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5140,873,1998-02-24,178500,2975,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5145,915,1995-09-16,309552,6449,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5147,938,1998-05-21,22260,371,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5148,940,1996-05-29,284280,4738,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
