account_id,district_id,open_date,statement_frequency,district_name
1,18,1995-03-24,monthly,Pisek
2,1,1993-02-26,monthly,Hl.m. Praha
3,5,1997-07-07,monthly,Kolin
4,12,1996-02-21,monthly,Pribram
5,15,1997-05-30,monthly,Cesky Krumlov
6,51,1994-09-27,monthly,Trutnov
7,60,1996-11-24,monthly,Prostejov
8,57,1995-09-21,monthly,Hodonin
9,70,1993-01-27,monthly,Karvina
10,54,1996-08-28,monthly,Brno - mesto
11,76,1995-10-10,monthly,Sumperk
12,21,1997-04-15,monthly,Tabor
13,76,1997-08-17,monthly,Sumperk
14,47,1996-11-27,monthly,Pardubice
15,70,1993-10-02,monthly,Karvina
16,12,1997-09-23,monthly,Pribram
17,1,1997-01-08,monthly,Hl.m. Praha
19,21,1995-04-07,monthly,Tabor
20,74,1996-08-24,monthly,Ostrava - mesto
21,54,1997-12-06,monthly,Brno - mesto
22,1,1994-03-23,monthly,Hl.m. Praha
23,30,1993-05-22,monthly,Sokolov
24,74,1996-12-05,monthly,Ostrava - mesto
25,68,1996-07-28,monthly,Frydek - Mistek
26,52,1993-08-08,monthly,Usti nad Orlici
27,73,1993-09-26,monthly,Opava
29,7,1994-11-24,monthly,Melnik
30,36,1995-03-04,monthly,Liberec
31,68,1994-04-27,monthly,Frydek - Mistek
32,5,1995-08-28,monthly,Kolin
33,22,1993-08-26,monthly,Domazlice
35,75,1993-07-07,monthly,Prerov
36,1,1993-07-01,monthly,Hl.m. Praha
37,20,1997-08-18,monthly,Strakonice
39,36,1993-09-22,monthly,Liberec
40,64,1993-10-25,monthly,Zlin
41,72,1997-08-02,monthly,Olomouc
42,39,1996-08-16,monthly,Most
43,36,1994-06-12,monthly,Liberec
44,32,1993-05-10,monthly,Ceska Lipa
45,64,1997-09-02,monthly,Zlin
47,45,1993-08-08,monthly,Jicin
48,21,1996-11-17,monthly,Tabor
49,1,1997-04-06,monthly,Hl.m. Praha
50,1,1994-05-06,monthly,Hl.m. Praha
51,67,1996-05-11,monthly,Bruntal
52,16,1997-01-29,monthly,Jindrichuv Hradec
53,77,1995-06-07,monthly,Vsetin
54,4,1995-05-02,monthly,Kladno
55,20,1996-02-19,monthly,Strakonice
56,50,1994-05-16,monthly,Svitavy
57,1,1995-05-21,monthly,Hl.m. Praha
58,29,1996-08-23,monthly,Rokycany
59,43,1994-03-27,monthly,Hradec Kralove
61,70,1993-12-11,monthly,Karvina
62,47,1993-03-28,monthly,Pardubice
63,22,1996-11-16,monthly,Domazlice
64,64,1997-03-11,monthly,Zlin
65,36,1996-10-29,monthly,Liberec
67,16,1994-10-19,monthly,Jindrichuv Hradec
69,64,1996-01-12,monthly,Zlin
70,8,1995-02-18,monthly,Mlada Boleslav
71,1,1994-03-05,monthly,Hl.m. Praha
73,72,1993-11-08,monthly,Olomouc
75,1,1995-08-13,monthly,Hl.m. Praha
76,52,1996-05-16,monthly,Usti nad Orlici
77,63,1996-11-19,monthly,Vyskov
78,74,1993-07-07,monthly,Ostrava - mesto
79,3,1996-11-29,monthly,Beroun
80,43,1995-09-27,monthly,Hradec Kralove
81,74,1996-07-18,monthly,Ostrava - mesto
82,26,1994-05-03,monthly,Plzen - mesto
83,26,1993-04-16,monthly,Plzen - mesto
85,68,1997-03-23,monthly,Frydek - Mistek
86,54,1993-03-07,monthly,Brno - mesto
88,31,1996-07-03,monthly,Tachov
89,68,1997-09-25,monthly,Frydek - Mistek
90,1,1994-07-13,monthly,Hl.m. Praha
91,17,1996-11-06,monthly,Pelhrimov
93,2,1996-06-12,monthly,Benesov
95,1,1995-03-30,monthly,Hl.m. Praha
96,68,1993-02-18,monthly,Frydek - Mistek
97,74,1996-05-05,monthly,Ostrava - mesto
98,55,1997-05-02,monthly,Brno - venkov
99,1,1995-06-27,monthly,Hl.m. Praha
100,41,1993-12-28,monthly,Usti nad Labem
101,35,1996-04-16,monthly,Jablonec n. Nisou
102,11,1993-10-16,monthly,Praha - zapad
103,44,1996-03-10,monthly,Chrudim
104,37,1993-04-15,monthly,Litomerice
105,21,1997-07-10,monthly,Tabor
106,63,1994-11-27,monthly,Vyskov
107,64,1993-11-05,monthly,Zlin
108,53,1995-03-10,monthly,Blansko
109,53,1997-04-20,monthly,Blansko
110,36,1996-07-17,monthly,Liberec
112,6,1993-03-12,monthly,Kutna Hora
113,55,1996-07-22,monthly,Brno - venkov
114,60,1997-03-14,monthly,Prostejov
115,68,1993-03-19,monthly,Frydek - Mistek
116,8,1996-03-21,monthly,Mlada Boleslav
117,31,1993-09-05,monthly,Tachov
118,68,1997-09-18,monthly,Frydek - Mistek
119,27,1993-05-25,monthly,Plzen - jih
121,55,1997-10-11,monthly,Brno - venkov
122,31,1996-10-30,monthly,Tachov
123,21,1993-03-13,monthly,Tabor
124,55,1997-12-28,monthly,Brno - venkov
126,5,1993-10-23,monthly,Kolin
127,29,1994-02-02,monthly,Rokycany
128,2,1993-02-19,monthly,Benesov
129,74,1997-10-01,monthly,Ostrava - mesto
130,54,1997-02-12,monthly,Brno - mesto
131,52,1995-06-13,monthly,Usti nad Orlici
134,34,1997-12-10,monthly,Chomutov
135,75,1993-06-15,monthly,Prerov
136,74,1996-05-14,monthly,Ostrava - mesto
137,70,1996-07-19,monthly,Karvina
138,22,1995-09-19,monthly,Domazlice
140,24,1996-06-25,monthly,Karlovy Vary
141,38,1996-03-06,monthly,Louny
142,51,1993-02-15,monthly,Trutnov
143,21,1996-11-27,monthly,Tabor
145,31,1996-01-03,monthly,Tachov
146,4,1993-09-02,monthly,Kladno
148,8,1993-06-21,monthly,Mlada Boleslav
149,43,1997-11-16,monthly,Hradec Kralove
150,73,1995-03-16,monthly,Opava
151,76,1993-09-06,monthly,Sumperk
152,1,1996-04-12,monthly,Hl.m. Praha
153,77,1993-09-19,monthly,Vsetin
154,46,1994-06-21,monthly,Nachod
155,58,1995-11-07,monthly,Jihlava
156,64,1997-10-22,monthly,Zlin
157,11,1997-03-28,monthly,Praha - zapad
158,37,1995-03-15,monthly,Litomerice
159,70,1997-02-11,monthly,Karvina
160,23,1993-09-04,monthly,Cheb
161,28,1994-07-04,monthly,Plzen - sever
162,60,1993-08-25,monthly,Prostejov
163,30,1993-01-27,monthly,Sokolov
164,60,1996-09-13,monthly,Prostejov
165,25,1993-06-01,monthly,Klatovy
166,17,1996-08-20,monthly,Pelhrimov
168,31,1993-04-27,monthly,Tachov
169,4,1995-09-28,monthly,Kladno
170,59,1996-07-02,monthly,Kromeriz
171,46,1996-06-08,monthly,Nachod
172,13,1993-08-30,monthly,Rakovnik
173,66,1993-11-26,monthly,Zdar nad Sazavou
174,52,1996-09-04,monthly,Usti nad Orlici
177,1,1997-09-26,monthly,Hl.m. Praha
178,59,1997-09-06,monthly,Kromeriz
181,21,1996-06-11,monthly,Tabor
182,47,1996-08-24,monthly,Pardubice
183,43,1993-12-12,monthly,Hradec Kralove
184,77,1996-02-21,monthly,Vsetin
185,32,1997-07-04,monthly,Ceska Lipa
187,5,1993-03-28,monthly,Kolin
188,54,1993-04-20,monthly,Brno - mesto
189,76,1997-04-16,monthly,Sumperk
190,74,1995-03-02,monthly,Ostrava - mesto
191,41,1997-03-17,monthly,Usti nad Labem
192,55,1993-01-08,monthly,Brno - venkov
193,69,1996-12-22,monthly,Jesenik
194,44,1996-08-01,monthly,Chrudim
195,70,1997-02-27,monthly,Karvina
196,4,1993-11-14,monthly,Kladno
197,1,1993-02-25,monthly,Hl.m. Praha
198,70,1993-10-25,monthly,Karvina
199,70,1996-10-26,monthly,Karvina
200,17,1994-07-03,monthly,Pelhrimov
201,63,1994-11-02,monthly,Vyskov
204,67,1996-01-13,monthly,Bruntal
205,1,1997-10-08,monthly,Hl.m. Praha
206,61,1995-04-08,monthly,Trebic
207,2,1993-07-25,monthly,Benesov
208,54,1996-03-27,monthly,Brno - mesto
209,37,1996-11-24,monthly,Litomerice
210,48,1996-03-17,monthly,Rychnov nad Kneznou
211,28,1997-07-19,monthly,Plzen - sever
213,73,1995-08-29,monthly,Opava
214,22,1997-03-09,monthly,Domazlice
215,31,1997-11-25,monthly,Tachov
216,38,1994-05-16,monthly,Louny
217,77,1995-01-20,monthly,Vsetin
